Ciphertext,Cipher Name
ULXSMOQDLBOUFXOWHA,Quagmire I
YRCDIBXVZOWYPCVFSR,Quagmire II
PEMTKZVCLKQUNQRZXHWNPJ,Quagmire I
BHAUUURUZQFYEOGIYNHFSW,Quagmire II
YPDVKLJDZYVESNDCBAHWPXAF,Quagmire I
ZEMNUQTVEHLKNFMXJRIBSGKS,Quagmire II
IFRRZVTOZLADQNAYXBTYOBHJTO,Quagmire I
DTGBMTGYERKZXFWHYLGPVOSOGY,Quagmire II
KNSLDNUYWKPQZELXQHUO,Quagmire I
UFFRHVYPRQBCAHZGFNYY,Quagmire II
TUGDMHCYSMPVTYGOIATZQVW,Quagmire I
GAQPINKPFEBTGPQSDRGDUNE,Quagmire II
KLIXDFAHOQDTGTRWZQKIZPRD,Quagmire I
URPGHSMWVTHDOZGFMCULECCZ,Quagmire II
IZHNCMPVLWWWODIUHTBCW,Quagmire I
DDNZRABIZFEXJVPVSDLUR,Quagmire II
OZEOBSQUWHYAEANHHJFHOIWTIHZG,Quagmire I
JDISJFXARYZRQJHYSOPWVJEDDWEK,Quagmire II
IURBZZOJVAPKCKUBYIVO,Quagmire I
DAGOMUJXJABPKSBOZIRY,Quagmire II
VGADIZACNBUMDOQTHOPOMJAAS,Quagmire I
RGWPDUMUHOGASYUUSBBYAWKRN,Quagmire II
YRHWWEIVPQSZZXYGUWOGHFW,Quagmire I
ZNNFEKDISTAUACDKGXJGNLE,Quagmire II
XRXFWKTQSCINPGZSLFDZOTVIFX,Quagmire I
FNCLEPGOFXDVBGEDVSSDVULIPC,Quagmire II
MBCRALCEUPLIPDYOGNEDIF,Quagmire I
WKLBKQKHBCVIBVDSOVQVPL,Quagmire II
SCAAYFFZMJBUWVFTPVIGYVNJUN,Quagmire I
NUWAZSPDAWJYHIOUBTDGDNNOYF,Quagmire II
VAUCFIWNURJJMACKBURQAUZOLFRT,Quagmire I
RJBXPIHFBBTOWJLQJYCOWVMBVTGU,Quagmire II
KXDKFCUKAANEYXBPGOCHBOCYQSTZC,Quagmire I
UCMQPMYSWANKZCKCOBKWKSREXMTIR,Quagmire II
RCCKJBVTPFJNTMXOQDDW,Quagmire I
CULQTLRZSLTVGQCSFZSB,Quagmire II
EIKIGDSMPKYANVLZLTYKFWXWRZXE,Quagmire I
QLYJOZNQSQZREIZIVDZSOFYXCDCM,Quagmire II
IURVVJLKXZSZEBZCCVVQKRCRWX,Quagmire I
DAGNLOVSCIAUQKEXRTROYBRHHC,Quagmire II
MVKWQMLXBSVHDRMYCTAVQTVXOKCP,Quagmire I
